epoch,step,train/dice,train/loss,train/loss_bnd,train/loss_dice,train/loss_pts,train/loss_pts_coord,train/loss_pts_hm,train/loss_seg,train/sigma_max,train/sigma_min,train/w_bnd_eff,train/w_pts_eff,train/w_seg_eff,val/dice,val/loss,val/loss_bnd,val/loss_dice,val/loss_pts,val/loss_pts_coord,val/loss_pts_hm,val/loss_seg,val/pt_vis_count,val/sigma_max,val/sigma_min,val/w_bnd_eff,val/w_pts_eff,val/w_seg_eff,val_balance_score,val_dice_epoch,val_pt_err_px
0,185,0.4275866150856018,2.4267468452453613,0.05842837318778038,0.5724133849143982,1.8488818407058716,17.98737907409668,0.05014391988515854,0.34560874104499817,3.0,3.0,10.0,0.5,1.0,0.5550414323806763,1.5425498485565186,0.029438741505146027,0.4449585974216461,1.2130428552627563,11.717071533203125,0.04133564978837967,0.19668233394622803,1.0,3.0,3.0,10.0,0.5,1.0,0.4582337439060211,0.5550414323806763,21.946617126464844
1,371,0.7374160885810852,0.9363030195236206,0.017768392339348793,0.26258385181427,0.7826252579689026,7.519285678863525,0.030696598812937737,0.10472260415554047,2.950000047683716,2.950000047683716,10.0,0.5,1.0,0.8115752339363098,0.8071030974388123,0.009512943215668201,0.18842478096485138,0.8835875988006592,8.630791664123535,0.02050841599702835,0.081755131483078,1.0,2.950000047683716,2.950000047683716,10.0,0.5,1.0,0.6442200541496277,0.8115752339363098,15.433175086975098
2,557,0.8662204742431641,0.603185772895813,0.006355961784720421,0.13377951085567474,0.6877070665359497,6.720952033996582,0.015611855313181877,0.06199311837553978,2.9000000953674316,2.9000000953674316,10.0,0.5,1.0,0.8657978773117065,0.6276534795761108,0.005092221312224865,0.13420213758945465,0.7363088726997375,7.258261680603027,0.010482674464583397,0.0743747279047966,1.0,2.9000003337860107,2.9000003337860107,10.0,0.5,1.0,0.6989524364471436,0.8657978773117065,12.287389755249023
3,743,0.8982586860656738,0.49072352051734924,0.003664164338260889,0.10174132883548737,0.6021258234977722,5.93776798248291,0.008349014446139336,0.05127765238285065,2.8499999046325684,2.8499999046325684,10.0,0.5,1.0,0.8822488784790039,0.593217134475708,0.003963786642998457,0.11775113642215729,0.7409505844116211,7.346739292144775,0.006276710424572229,0.06535283476114273,1.0,2.8499996662139893,2.8499996662139893,10.0,0.5,1.0,0.7074936032295227,0.8822488784790039,12.453712463378906
4,929,0.9082911610603333,0.4632086753845215,0.002963107544928789,0.09170880913734436,0.5877785086631775,5.823826789855957,0.005395819433033466,0.04797950014472008,2.799999952316284,2.799999952316284,10.0,0.5,1.0,0.8885269165039062,0.5561795830726624,0.003781279781833291,0.11147309839725494,0.6909199953079224,6.856071949005127,0.005312798079103231,0.061433687806129456,1.0,2.8000001907348633,2.8000001907348633,10.0,0.5,1.0,0.7188200950622559,0.8885269165039062,11.539658546447754
5,1115,0.9138209819793701,0.44734659790992737,0.002719281706959009,0.08617901802062988,0.5747649669647217,5.705451011657715,0.004219867289066315,0.04659223183989525,2.75,2.75,10.0,0.5,1.0,0.8944581151008606,0.5344033241271973,0.0036243440117686987,0.10554182529449463,0.6721416115760803,6.687185764312744,0.0034229860175400972,0.05654723197221756,1.0,2.75,2.75,10.0,0.5,1.0,0.7274830341339111,0.8944581151008606,10.963461875915527
6,1301,0.9191871285438538,0.42356404662132263,0.002579555381089449,0.08081285655498505,0.5468072295188904,5.43934965133667,0.0028722304850816727,0.04355201870203018,2.700000047683716,2.700000047683716,10.0,0.5,1.0,0.8764541149139404,0.598445475101471,0.003620075760409236,0.12354593724012375,0.7065302729606628,7.0438971519470215,0.002140552969649434,0.08543369919061661,1.0,2.700000047683716,2.700000047683716,10.0,0.5,1.0,0.7093527913093567,0.8764541149139404,11.800703048706055
7,1487,0.9224579334259033,0.41414520144462585,0.0024930990766733885,0.0775420218706131,0.5391191244125366,5.370951175689697,0.002024022163823247,0.042112596333026886,2.6500000953674316,2.6500000953674316,10.0,0.5,1.0,0.8939543962478638,0.5481950044631958,0.0033870034385472536,0.10604560375213623,0.697824239730835,6.959614276885986,0.0018627928802743554,0.05936725437641144,1.0,2.6500000953674316,2.6500000953674316,10.0,0.5,1.0,0.7203054428100586,0.8939543962478638,11.747071266174316
8,1673,0.9253385663032532,0.404073566198349,0.002439727308228612,0.07466147094964981,0.5286538600921631,5.269722938537598,0.0016814992995932698,0.04068794474005699,2.5999999046325684,2.5999999046325684,10.0,0.5,1.0,0.8813679218292236,0.5824368596076965,0.003460019826889038,0.11863202601671219,0.7157288789749146,7.14335823059082,0.0013929863926023245,0.07134020328521729,1.0,2.5999999046325684,2.5999999046325684,10.0,0.5,1.0,0.7096223831176758,0.8813679218292236,12.123695373535156
9,1859,0.9258617162704468,0.4071096181869507,0.00239736819639802,0.07413823902606964,0.5367763638496399,5.348807334899902,0.0018955895211547613,0.04060951992869377,2.549999952316284,2.549999952316284,10.0,0.5,1.0,0.9021018147468567,0.5318434834480286,0.003300897777080536,0.09789817780256271,0.6922378540039062,6.906890869140625,0.0015487766359001398,0.054817404597997665,1.0,2.5500001907348633,2.5500001907348633,10.0,0.5,1.0,0.726496160030365,0.9021018147468567,11.594182014465332
10,2045,0.927230179309845,0.39649564027786255,0.002344067906960845,0.07276982814073563,0.5210130214691162,5.195594787597656,0.0014535179361701012,0.03977863863110542,2.5,2.5,10.0,0.5,1.0,0.8919491171836853,0.5424169898033142,0.003354552900418639,0.1080508902668953,0.6826762557029724,6.814216613769531,0.0012546078069135547,0.05948241055011749,1.0,2.5,2.5,10.0,0.5,1.0,0.7251462340354919,0.8919491171836853,11.055206298828125
11,2231,0.9299746155738831,0.38939404487609863,0.002324363449588418,0.07002536207437515,0.5150582790374756,5.139826774597168,0.001075588632375002,0.038595907390117645,2.450000047683716,2.450000047683716,10.0,0.5,1.0,0.8883464932441711,0.6029027700424194,0.003333286615088582,0.11165356636047363,0.7651686072349548,7.640323162078857,0.0011362845543771982,0.07533200830221176,1.0,2.450000047683716,2.450000047683716,10.0,0.5,1.0,0.7090069651603699,0.8883464932441711,12.727394104003906
12,2417,0.9330470561981201,0.3735162019729614,0.0022701346315443516,0.0669528916478157,0.4952985644340515,4.942978858947754,0.0010007091332226992,0.03621266037225723,2.4000000953674316,2.4000000953674316,10.0,0.5,1.0,0.8918965458869934,0.565440833568573,0.0033795677591115236,0.1081034317612648,0.716595470905304,7.156309604644775,0.0009644898818805814,0.06524395942687988,1.0,2.4000000953674316,2.4000000953674316,10.0,0.5,1.0,0.7173212766647339,0.8918965458869934,11.955900192260742
