epoch,step,train/dice,train/loss,train/loss_bnd,train/loss_dice,train/loss_pts,train/loss_pts_coord,train/loss_pts_hm,train/loss_seg,train/sigma_max,train/sigma_min,train/w_bnd_eff,train/w_pts_eff,train/w_seg_eff,val/dice,val/loss,val/loss_bnd,val/loss_dice,val/loss_pts,val/loss_pts_coord,val/loss_pts_hm,val/loss_seg,val/pt_vis_count,val/sigma_max,val/sigma_min,val/w_bnd_eff,val/w_pts_eff,val/w_seg_eff,val_balance_score,val_dice_epoch,val_pt_err_px
0,185,0.4282374083995819,2.2355220317840576,0.0578509196639061,0.5717625617980957,1.4683157205581665,14.170600891113281,0.051255617290735245,0.35109245777130127,3.0,3.0,10.0,0.5,1.0,0.5602002143859863,1.3945499658584595,0.02673744224011898,0.43979978561401367,0.9551268815994263,9.102791786193848,0.04484780132770538,0.20981238782405853,1.0,3.0,3.0,10.0,0.5,1.0,0.48679912090301514,0.5602002143859863,16.5465030670166
1,371,0.7238006591796875,0.9315086007118225,0.018040543422102928,0.2761993110179901,0.7302427291870117,6.999236583709717,0.03031904250383377,0.10978253930807114,2.950000047683716,2.950000047683716,10.0,0.5,1.0,0.7974525094032288,0.8357720971107483,0.011458516120910645,0.20254752039909363,0.7844513654708862,7.631968975067139,0.02125442773103714,0.1264137178659439,1.0,2.950000047683716,2.950000047683716,10.0,0.5,1.0,0.6523839235305786,0.7974525094032288,13.000079154968262
2,557,0.8714796304702759,0.5635559558868408,0.006821203511208296,0.12852035462856293,0.6194725632667542,6.044874668121338,0.014985159039497375,0.057087335735559464,2.9000000953674316,2.9000000953674316,10.0,0.5,1.0,0.87022864818573,0.5951501131057739,0.005929314531385899,0.12977133691310883,0.6859467625617981,6.762057781219482,0.009740924462676048,0.06311223655939102,1.0,2.9000003337860107,2.9000003337860107,10.0,0.5,1.0,0.710400402545929,0.87022864818573,11.246845245361328
3,743,0.903617262840271,0.4668474495410919,0.003930550534278154,0.09638276696205139,0.5670319199562073,5.591938495635986,0.007838055491447449,0.04764324054121971,2.8499999046325684,2.8499999046325684,10.0,0.5,1.0,0.8817122578620911,0.5787763595581055,0.004134784452617168,0.11828777939081192,0.7129178643226624,7.081571578979492,0.004760702606290579,0.06268177181482315,1.0,2.8499996662139893,2.8499996662139893,10.0,0.5,1.0,0.7125590443611145,0.8817122578620911,11.794599533081055
4,929,0.9139712452888489,0.433298259973526,0.0030557166319340467,0.08602867275476456,0.5449294447898865,5.40194034576416,0.004735421855002642,0.04424770921468735,2.799999952316284,2.799999952316284,10.0,0.5,1.0,0.8901190161705017,0.5521720051765442,0.003748004324734211,0.10988099128007889,0.6928805708885193,6.891095161437988,0.0037710207980126143,0.05837066471576691,1.0,2.8000001907348633,2.8000001907348633,10.0,0.5,1.0,0.719994068145752,0.8901190161705017,11.514322280883789
5,1115,0.9214380979537964,0.40785151720046997,0.0027102597523480654,0.07856195420026779,0.5222756862640381,5.191950798034668,0.0030806397553533316,0.04104909673333168,2.75,2.75,10.0,0.5,1.0,0.8913134336471558,0.5357730984687805,0.0035281935706734657,0.10868656635284424,0.6681341528892517,6.654134273529053,0.002720707328990102,0.05773749575018883,1.0,2.75,2.75,10.0,0.5,1.0,0.7252504825592041,0.8913134336471558,11.00151538848877
6,1301,0.9248425960540771,0.3981868028640747,0.00256409146822989,0.07515738159418106,0.5146358013153076,5.123172760009766,0.0023185196332633495,0.04007058963179588,2.700000047683716,2.700000047683716,10.0,0.5,1.0,0.8836907148361206,0.5679227709770203,0.003485369961708784,0.11630921810865402,0.6681322455406189,6.657661437988281,0.002366073429584503,0.08269371092319489,1.0,2.700000047683716,2.700000047683716,10.0,0.5,1.0,0.7207452058792114,0.8836907148361206,10.993980407714844
7,1487,0.9256197810173035,0.39623716473579407,0.002487625926733017,0.07438014447689056,0.5139952898025513,5.11826753616333,0.002168460516259074,0.0399831160902977,2.6500000953674316,2.6500000953674316,10.0,0.5,1.0,0.8898771405220032,0.56303471326828,0.003556373994797468,0.1101229265332222,0.705353856086731,7.0348052978515625,0.0018733048345893621,0.06467106193304062,1.0,2.6500000953674316,2.6500000953674316,10.0,0.5,1.0,0.7181745767593384,0.8898771405220032,11.709834098815918
8,1673,0.9281578660011292,0.3973555564880371,0.002417992800474167,0.07184213399887085,0.5240934491157532,5.224002361297607,0.001693180063739419,0.039286769926548004,2.5999999046325684,2.5999999046325684,10.0,0.5,1.0,0.8951693773269653,0.5211672186851501,0.0033734221942722797,0.10483063757419586,0.6447371244430542,6.433843612670898,0.0013528172858059406,0.060233812779188156,1.0,2.5999999046325684,2.5999999046325684,10.0,0.5,1.0,0.7322210669517517,0.8951693773269653,10.500261306762695
9,1859,0.9321173429489136,0.3768363893032074,0.0023389419075101614,0.06788267195224762,0.49772265553474426,4.965942859649658,0.0011284041684120893,0.036702949553728104,2.549999952316284,2.549999952316284,10.0,0.5,1.0,0.8972572684288025,0.5225334167480469,0.0034607492852956057,0.10274267196655273,0.6529443860054016,6.519595623016357,0.0009847600013017654,0.058711130172014236,1.0,2.5500001907348633,2.5500001907348633,10.0,0.5,1.0,0.7318862676620483,0.8972572684288025,10.668428421020508
